GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US25017373400,25017373400,"Census Tract 3734, Middlesex County, Massachusetts",611,94,16,19,29,29,124,67,68,55,76,53,47,33,32,29,29,23,167,79,23,24
1400000US25017373500,25017373500,"Census Tract 3735, Middlesex County, Massachusetts",269,84,24,25,0,17,60,46,15,18,28,34,7,12,0,17,38,47,51,36,46,35
1400000US25017373600,25017373600,"Census Tract 3736, Middlesex County, Massachusetts",200,61,0,17,18,17,23,23,13,15,19,17,35,36,6,9,0,17,79,46,7,10
1400000US25017373700,25017373700,"Census Tract 3737, Middlesex County, Massachusetts",143,62,0,12,0,12,66,49,10,16,10,15,0,12,0,12,17,17,33,26,7,14
1400000US25017373800,25017373800,"Census Tract 3738, Middlesex County, Massachusetts",656,146,14,22,67,55,66,67,67,51,57,42,49,44,41,59,82,84,154,78,59,53
1400000US25017373900,25017373900,"Census Tract 3739, Middlesex County, Massachusetts",457,150,82,103,52,48,18,26,46,44,20,30,26,31,0,17,18,29,179,121,16,27
1400000US25017374000,25017374000,"Census Tract 3740, Middlesex County, Massachusetts",246,94,0,17,9,15,28,43,13,15,40,29,36,34,8,12,19,30,80,76,13,16
1400000US25017374100,25017374100,"Census Tract 3741, Middlesex County, Massachusetts",779,128,11,17,18,20,91,58,142,70,75,44,94,51,18,20,74,44,244,101,12,20
1400000US25017374200,25017374200,"Census Tract 3742, Middlesex County, Massachusetts",350,94,28,25,78,59,101,58,19,21,12,18,19,23,35,53,27,25,22,16,9,14
1400000US25017374300,25017374300,"Census Tract 3743, Middlesex County, Massachusetts",240,59,8,12,7,13,51,39,0,12,14,16,0,12,14,18,14,17,61,48,71,45
1400000US25017374400,25017374400,"Census Tract 3744, Middlesex County, Massachusetts",560,103,15,25,110,93,53,47,69,54,106,47,67,53,18,29,30,34,74,51,18,28
1400000US25017374500,25017374500,"Census Tract 3745, Middlesex County, Massachusetts",489,100,14,21,57,39,77,53,76,44,22,25,69,57,39,36,58,50,40,27,37,26
1400000US25017374600,25017374600,"Census Tract 3746, Middlesex County, Massachusetts",593,108,37,34,12,18,101,53,55,35,37,21,64,54,58,53,113,82,77,39,39,28
1400000US25017374700,25017374700,"Census Tract 3747, Middlesex County, Massachusetts",810,117,85,58,129,87,146,77,81,55,83,57,54,30,47,46,88,71,79,40,18,21
1400000US25017374800,25017374800,"Census Tract 3748, Middlesex County, Massachusetts",499,89,14,14,29,26,86,55,12,17,88,41,27,32,16,17,44,32,167,65,16,18
