GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25017357600,25017357600,"Census Tract 3576, Middlesex County, Massachusetts",2398,177,2299,191,2079,192,0,127,0,127,202,132,18,30,0,127,0,127,0,127,0,127,99,108,99,108,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US25017357700,25017357700,"Census Tract 3577, Middlesex County, Massachusetts",3433,290,3160,301,2547,333,17,27,0,127,564,307,0,127,10,17,22,22,0,127,22,22,273,140,259,138,0,127,0,127,0,127,0,127,14,24,0,127,0,127,0,127
1400000US25017357800,25017357800,"Census Tract 3578, Middlesex County, Massachusetts",3425,253,3275,280,3119,280,52,83,0,127,75,66,0,127,8,12,21,33,0,127,21,33,150,109,40,47,0,127,0,127,0,127,0,127,59,70,51,70,51,70,0,127
1400000US25017358100,25017358100,"Census Tract 3581, Middlesex County, Massachusetts",4925,309,4879,310,3894,409,46,41,0,127,701,164,0,127,9,15,229,172,12,19,217,171,46,43,38,40,0,127,0,127,0,127,0,127,8,14,0,127,0,127,0,127
1400000US25017358300,25017358300,"Census Tract 3583, Middlesex County, Massachusetts",4793,212,4692,223,3510,260,43,48,19,20,1013,254,0,127,20,31,87,72,0,127,87,72,101,104,101,104,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US25017358400,25017358400,"Census Tract 3584, Middlesex County, Massachusetts",5053,280,4973,285,4291,286,0,127,0,127,636,155,0,127,0,127,46,43,0,127,46,43,80,51,71,47,9,16,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US25017358500,25017358500,"Census Tract 3585, Middlesex County, Massachusetts",4813,246,4770,253,3633,214,24,38,0,127,1107,225,0,127,0,127,6,10,0,127,6,10,43,42,43,42,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US25017358600,25017358600,"Census Tract 3586, Middlesex County, Massachusetts",5974,228,5703,227,4435,303,14,21,0,127,1080,163,0,127,0,127,174,123,32,49,142,115,271,187,96,76,0,127,0,127,132,195,0,127,0,127,43,42,20,32,23,28
1400000US25017358700,25017358700,"Census Tract 3587, Middlesex County, Massachusetts",4884,216,4767,257,4117,278,12,19,10,15,520,201,0,127,0,127,108,69,9,16,99,67,117,104,11,17,0,127,0,127,0,127,0,127,34,37,72,75,33,51,39,56
1400000US25017359100,25017359100,"Census Tract 3591, Middlesex County, Massachusetts",6000,317,5899,284,5082,355,121,140,36,46,459,213,0,127,0,127,201,263,0,127,201,263,101,112,101,112,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US25017359300,25017359300,"Census Tract 3593, Middlesex County, Massachusetts",7152,326,7054,324,6343,367,37,35,15,24,445,167,0,127,143,174,71,54,17,28,54,46,98,83,36,43,20,35,0,127,0,127,0,127,11,19,31,52,0,127,31,52
1400000US25017360100,25017360100,"Census Tract 3601, Middlesex County, Massachusetts",2694,346,2417,438,2084,457,64,71,0,127,130,138,0,127,0,127,139,154,0,127,139,154,277,240,64,84,156,237,0,127,0,127,0,127,57,74,0,127,0,127,0,127
1400000US25017360200,25017360200,"Census Tract 3602, Middlesex County, Massachusetts",5603,348,5525,351,4940,360,0,127,0,127,341,114,0,127,67,101,177,134,0,127,177,134,78,73,41,39,0,127,0,127,0,127,0,127,37,61,0,127,0,127,0,127
1400000US25017361100,25017361100,"Census Tract 3611, Middlesex County, Massachusetts",5349,343,5315,348,5039,372,49,64,0,127,208,225,0,127,0,127,19,21,0,127,19,21,34,43,18,30,0,127,0,127,0,127,0,127,16,28,0,127,0,127,0,127
1400000US25017361200,25017361200,"Census Tract 3612, Middlesex County, Massachusetts",6105,374,5540,341,4779,318,537,86,9,15,130,93,0,127,9,16,76,68,15,26,61,62,565,146,443,126,19,21,0,127,0,127,0,127,94,93,9,15,0,127,9,15
1400000US25017361300,25017361300,"Census Tract 3613, Middlesex County, Massachusetts",6112,374,5995,376,5701,415,42,55,10,16,85,83,0,127,0,127,157,105,0,127,157,105,117,80,117,80,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US25017362100,25017362100,"Census Tract 3621, Middlesex County, Massachusetts",4817,28,4742,66,4263,198,8,13,0,127,365,159,0,127,0,127,106,119,0,127,106,119,75,63,61,57,8,12,0,127,6,12,0,127,0,127,0,127,0,127,0,127
