GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25021415300,25021415300,"Census Tract 4153, Norfolk County, Massachusetts",3843,265,3683,296,23,31,0,127,137,142,0,127,0,127,0,127,0,127,0,127
1400000US25021416100,25021416100,"Census Tract 4161, Norfolk County, Massachusetts",8715,482,7760,523,290,184,0,127,615,227,0,127,40,53,10,18,0,127,10,18
1400000US25021416200,25021416200,"Census Tract 4162, Norfolk County, Massachusetts",6843,427,4532,624,1826,539,0,127,293,100,0,127,16,28,176,113,21,33,155,111
1400000US25021416300,25021416300,"Census Tract 4163, Norfolk County, Massachusetts",4917,363,3815,394,743,195,0,127,224,212,0,127,5,9,130,85,22,26,108,81
1400000US25021416400,25021416400,"Census Tract 4164, Norfolk County, Massachusetts",5845,342,5594,357,98,103,0,127,153,63,0,127,0,127,0,127,0,127,0,127
1400000US25021417100,25021417100,"Census Tract 4171, Norfolk County, Massachusetts",4724,323,3476,319,45,66,0,127,1160,315,0,127,0,127,43,43,0,127,43,43
1400000US25021417200,25021417200,"Census Tract 4172, Norfolk County, Massachusetts",8031,560,4248,490,242,143,0,127,3351,554,0,127,139,123,51,51,0,127,51,51
1400000US25021417300,25021417300,"Census Tract 4173, Norfolk County, Massachusetts",2152,282,1677,213,60,62,0,127,415,211,0,127,0,127,0,127,0,127,0,127
1400000US25021417400,25021417400,"Census Tract 4174, Norfolk County, Massachusetts",2666,289,2499,315,7,10,0,127,129,123,0,127,31,38,0,127,0,127,0,127
1400000US25021417501,25021417501,"Census Tract 4175.01, Norfolk County, Massachusetts",5152,526,3370,453,0,127,0,127,1666,511,0,127,0,127,116,75,0,127,116,75
