GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - Built 2010 or later,Margin of Error; Median gross rent -- - Total: - Built 2010 or later,Estimate; Median gross rent -- - Total: - Built 2000 to 2009,Margin of Error; Median gross rent -- - Total: - Built 2000 to 2009,Estimate; Median gross rent -- - Total: - Built 1990 to 1999,Margin of Error; Median gross rent -- - Total: - Built 1990 to 1999,Estimate; Median gross rent -- - Total: - Built 1980 to 1989,Margin of Error; Median gross rent -- - Total: - Built 1980 to 1989,Estimate; Median gross rent -- - Total: - Built 1970 to 1979,Margin of Error; Median gross rent -- - Total: - Built 1970 to 1979,Estimate; Median gross rent -- - Total: - Built 1960 to 1969,Margin of Error; Median gross rent -- - Total: - Built 1960 to 1969,Estimate; Median gross rent -- - Total: - Built 1950 to 1959,Margin of Error; Median gross rent -- - Total: - Built 1950 to 1959,Estimate; Median gross rent -- - Total: - Built 1940 to 1949,Margin of Error; Median gross rent -- - Total: - Built 1940 to 1949,Estimate; Median gross rent -- - Total: - Built 1939 or earlier,Margin of Error; Median gross rent -- - Total: - Built 1939 or earlier
1400000US25017361300,25017361300,"Census Tract 3613, Middlesex County, Massachusetts",1382,303,-,**,-,**,"2,000+",***,-,**,-,**,-,**,1750,518,-,**,1257,552
1400000US25017362100,25017362100,"Census Tract 3621, Middlesex County, Massachusetts","2,000+",***,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US25017363102,25017363102,"Census Tract 3631.02, Middlesex County, Massachusetts",1256,111,-,**,1563,200,1316,155,1258,278,1171,168,1086,177,-,**,-,**,-,**
1400000US25017363103,25017363103,"Census Tract 3631.03, Middlesex County, Massachusetts",1233,161,-,**,-,**,-,**,-,**,1219,332,-,**,-,**,-,**,-,**
1400000US25017363104,25017363104,"Census Tract 3631.04, Middlesex County, Massachusetts",1017,297,-,**,-,**,-,**,-,**,-,**,1019,608,-,**,-,**,-,**
1400000US25017363201,25017363201,"Census Tract 3632.01, Middlesex County, Massachusetts",428,871,-,**,-,**,-,**,394,129,367,778,-,**,-,**,-,**,1778,1556
1400000US25017363202,25017363202,"Census Tract 3632.02, Middlesex County, Massachusetts",1095,155,-,**,1804,112,-,**,-,**,-,**,-,**,-,**,-,**,1111,132
1400000US25017364101,25017364101,"Census Tract 3641.01, Middlesex County, Massachusetts",745,220,-,**,-,**,-,**,725,383,-,**,929,201,342,648,-,**,1002,677
1400000US25017364102,25017364102,"Census Tract 3641.02, Middlesex County, Massachusetts",1216,324,-,**,-,**,1644,434,1197,547,670,727,1100,427,-,**,-,**,1593,618
1400000US25017365100,25017365100,"Census Tract 3651, Middlesex County, Massachusetts",996,2612,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**
